,longitude,latitude,address
1956,-79.400499,43.687068,150 Saint Clair Avenue West
1957,-79.381686,43.692011,220 Rose Park Drive
1958,-79.382245,43.64185,14 York Street
1959,-79.382245,43.64185,14 York Street
1960,-79.389186,43.644515,20 John St | Unit
1961,-79.389406,43.644128,300 Front Street West
1962,-79.40315,43.75773,120 Harrison Garden Boulevard
1963,-79.368151,43.651446,230 King Street East
1964,-79.390869,43.671593,70 Yorkville Avenue
1965,-79.245842,43.747577,85 Seminole Avenue
1966,-79.463947,43.750613,1060 Sheppard Avenue West
1967,-79.458819,43.678245,137 Prescott Avenue
1968,-79.392491,43.645893,357 King Street West
1969,-79.444858,43.650384,383 Sorauren Avenue
1970,-79.526043,43.64613,9 Mabelle Avenue
1971,-79.380302,43.670068,110 Charles Street East
1972,-79.394303,43.670394,155 Yorkville Avenue
1973,-79.483058,43.671327,10 Criscoe Street
1974,-79.481943,43.622749,2200 Lake Shore Boulevard West
1975,-79.436874,43.665891,251 Hallam Street
1976,-79.435981,43.665205,721 Gladstone Avenue
1977,-79.413191,43.643191,Massey Street
1978,-79.415906,43.641582,1030 King Street West
1979,-79.45134,43.661095,340 Wallace Avenue
1980,-79.461056,43.694566,37 Snider Avenue
1981,-79.42436,43.640496,38 Joe Shuster Way
1982,-79.48913,43.623918,251 Manitoba Street
1983,-79.44793,43.711806,29 Lois Avenue
1984,-79.35915,43.661246,35 Tubman Avenue
1985,-79.414092,43.765509,155 Beecroft Road
1986,-79.405722,43.636642,219 Fort York Boulevard
1987,-79.403416,43.718114,807 Duplex Avenue
1988,-79.44537,43.639653,21 Grafton Avenue
1989,-79.38361,43.659111,386 Yonge Street
1990,-79.425564,43.661306,710 Ossington Avenue
1991,-79.393944,43.710487,200 Redpath Avenue
1992,-79.371223,43.644264,138 Downes Street
1993,-79.506046,43.626019,7 Smith Crescent
1994,-79.419834,43.780546,27 Eldora Avenue
1995,-79.378145,43.648858,1 King Street West
1996,-79.44429,43.674168,Peterborough Avenue
1997,-79.309871,43.679299,693 Woodbine Avenue
1998,-79.360375,43.661156,225 Sumach Street
1999,-79.405923,43.65581,29 Lippincott Street
2000,-79.399482,43.645628,461 Adelaide Street West
2001,-79.426926,43.674264,50 Marchmount Road
2002,-79.424308,43.640128,20 Joe Shuster Way
2003,-79.383116,43.710313,1 Cardiff Road
2004,-79.385679,43.766729,7 Kenaston Gardens
2005,-79.382148,43.65053,70 Temperance Street
2006,-79.37632,43.772158,42 Denrock Drive
2007,-79.54056,43.63469,30 Samuel Wood Way
2008,-79.52351,43.727942,189 Torbarrie Road
2009,-79.54056,43.63469,30 Samuel Wood Way
2010,-79.374133,43.643831,28 Freeland Street
2011,-79.285007,43.682445,434 Victoria Park Avenue
2012,-79.397957,43.70603,2221 Yonge Street
2013,-79.403584,43.690473,215 Lonsdale Road
2014,-79.430668,43.654315,4 Lindsey Avenue
2015,-79.316568,43.784302,456 Huntingwood Drive
2016,-79.469224,43.656064,110 Gothic Avenue
2017,-79.398553,43.638939,85 Queens Wharf Road
2018,-79.411804,43.777478,60 Byng Avenue
2019,-79.424074,43.641541,150 Sudbury Street
2020,-79.409724,43.639701,50 Ordnance Street
2021,-79.370409,43.767323,117 McMahon Drive
2022,-79.414253,43.780754,1 Pemberton Avenue
2023,-79.390994,43.647241,21 Widmer Street
2024,-79.424653,43.699581,1745 Bathurst Street
2025,-79.36879,43.653582,320 Richmond Street East
2026,-79.448084,43.71506,715 Lawrence Avenue West
2027,-79.372028,43.766749,95 McMahon Drive
2028,-79.327313,43.730564,7 Concorde Place
2029,-79.332958,43.752423,18 Valley Woods Road
2030,-79.54056,43.63469,30 Samuel Wood Way
2031,-79.377683,43.672048,387 Bloor Street East
2032,-79.36616,43.77626,25 Adra Grado Way
2033,-79.411165,43.777166,416 Kenneth Avenue
2034,-79.411165,43.777166,416 Kenneth Avenue
2035,-79.392527,43.645796,357 King Street West
2036,-79.392399,43.646834,87 Peter Street
2037,-79.392399,43.646834,87 Peter Street
2038,-79.392399,43.646834,87 Peter Street
2039,-79.388916,43.655156,488 University
2040,-79.399259,43.68671,111 St. Clair West
2041,-79.368682,43.650384,158 Front Street East
2042,-79.281644,43.714552,10 Mendelssohn Street
2043,-79.383473,43.663684,18 Maitland Terrace
2044,-79.384806,43.655113,111 Elizabeth St. Street
2045,-79.385703,43.661885,38 Grenville Street
2046,-79.391026,43.648081,290 Adelaide Street West
2047,-79.521089,43.621355,17 Zorra Street
2048,-79.382148,43.65053,70 Temperance Street
2049,-79.396857,43.647629,435 Richmond Street West
2050,-79.498311,43.610214,49 Macdonald Street
2051,-79.344292,43.732092,20 O&#x27; Neill Road
2052,-79.382787,43.642283,30 Grand Trunk Crescent
2053,-79.414319,43.640845,1 Shaw Street
2054,-79.37742,43.671975,395 Bloor Street East
2055,-79.384806,43.655113,111 Elizabeth Street
2056,-79.384806,43.655113,111 Elizabeth Street
