,price,address,beds,baths,size,longitude,latitude
295,3149,3905 Bathurst Street,3,1,1100 ,-79.435159,43.742833
297,3085,42 Glen Elm Avenue,2,1,,-79.392833,43.691967
301,2499,130 Raglan Avenue,1,1,529 ,-79.421215,43.687029
302,3895,540 Street Clarens Avenue,3.5,2,2000 ,-79.442967,43.661702
303,5980,20 Edward Street,3,2,1035 ,-79.382122,43.656967
304,2595,150 Dowling Avenue,2,1,925 ,-79.43949,43.637788
314,2455,15 Tangreen Court,1,1,616 ,-79.426377,43.796648
315,2580,5 Tangreen Court,1,1,655 ,-79.426377,43.796648
316,2115,630 Roselawn Ave.,1,1,,-79.423027,43.706123
317,2500,5 Soudan Avenue,1.5,1,600 ,-79.397167,43.704325
318,2615,31 Phipps Street,1,1,513 ,-79.386767,43.664937
319,2445,8 Eglinton Avenue Eas,1.5,1,575 ,-79.397224,43.708143
322,2210,2 Glenhaven Street,1,1,597 ,-79.469902,43.691757
323,2382,2040 Eglinton Avenue West,1,1,767 ,-79.456878,43.694454
324,3580,761 Bay St,2,2,950 ,-79.384995,43.659667
328,2195,18 Concorde Place,1,1,700 ,-79.327973,43.730949
329,2495,1030 King Street West,1.5,1,600 ,-79.415905,43.641581
331,3450,36 Castle Frank Road,2,1,1050 ,-79.36972,43.676613
332,2700,88 Harbour St,1,1,550 ,-79.379082,43.642187
334,2650,30 Ordnance St,1,1,550 ,-79.409325,43.639391
335,2195,28 Ted Rogers Way,1.5,1,720 ,-79.380609,43.670587
336,3550,381 Front St W,2.5,2,850 ,-79.392662,43.642808
337,3650,95 Lombard St,2.5,2,1100 ,-79.37335,43.652004
338,3300,1765 Queen St E,2,2,950 ,-79.309695,43.667711
345,2600,501 Adelaide St,1,1,550 ,-79.401338,43.645376
348,2750,3443 Bathurst Street,2.5,1,976 ,-79.431489,43.728047
349,1750,1510 King Street West,1,1,443 ,-79.440809,43.636724
350,1400,229 Carlton Street,0,1,,-79.368599,43.663946
351,1995,153 Ranleigh Avenue,0,1,,-79.39807,43.728259
358,1920,2175 Avenue Road,1,1,472 ,-79.421201,43.740855
360,1797,5 Glenavon Road,1,1,257 ,-79.43894,43.635531
361,1899,5 Donlands Avenue,1,1,620 ,-79.337259,43.680697
363,1969,4-6 Folcroft,1,1,600 ,-79.25128,43.700982
364,3400,40 Alexander Street,2,1,863 ,-79.382012,43.663292
367,2600,80 Queens Wharf Rd,1,1,550 ,-79.400027,43.638599
368,2480,1475 Birchmount Road,2,1,800 ,-79.288056,43.756696
372,2000,549 Indian Road,0,1,,-79.456525,43.656649
373,3600,111 Bathurst St,2,1,750 ,-79.4026,43.644768
375,2500,151 Dan Leckie Way,1,1,550 ,-79.397947,43.639783
376,3500,30 Grand Trunk Cres,2,2,850 ,-79.382787,43.642282
378,2700,50 Bruyeres Mews,1,1,550 ,-79.402138,43.637672
379,1950,550 Jarvis Street,1,1,618 ,-79.379949,43.669228
380,2250,143 Arlington Avenue,1,1,478 - 489 ,-79.429059,43.681988
381,2400,36 Blue Jays Way,1,1,448 ,-79.392044,43.644937
382,3700,290 Adelaide St W,2,2,1100 ,-79.391145,43.648002
383,2700,65 Bremner Blvd,1,1,650 ,-79.380521,43.642629
384,2500,30 Nelson St,1.5,1,650 ,-79.388413,43.64904
385,4295,133 Florence St.,3,2.5,,-79.433633,43.645374
386,2450,100 Roehampton Avenue,2,1,,-79.395979,43.708523
387,2429,155 Wellesley Street East,1,1,526 ,-79.375318,43.666301
390,2750,120 Varna Dr.,2,2,630 ,-79.445982,43.723507
391,3100,101 driftwood ave,3,2,1000 ,-79.513313,43.754519
393,1825,131 Lake Crescent,0,1,,-79.498471,43.605649
394,2095,30 Gloucester Street,1,1,500 ,-79.383792,43.667351
395,2925,70 Temperance Street,2,1,776 ,-79.382508,43.650763
396,2899,245 Howland Avenue,2,1,,-79.41135,43.672957
401,1499,31 Tichester Road,1,1,,-79.419031,43.685434
404,2845,33 Helendale Avenue,2,2,653 ,-79.399581,43.70886
406,2195,2700 Bathurst Street,1,1,618 ,-79.428149,43.709075
407,2495,30 Roehampton Avenue,1,1,650 ,-79.397498,43.708472
408,2350,115 Blue Jays Way,1,1,456 ,-79.39252,43.645694
409,2600,55 Cooper St,1.5,1,650 ,-79.371413,43.643796
410,2099,608 Church Street,0,1,,-79.382082,43.668038
411,2199,177 St. George Street,0,1,,-79.400945,43.671111
412,2399,107 Redpath Avenue,1,1,,-79.392111,43.707271
414,1962,2367 Queen St. E,0,1,297 ,-79.288301,43.672168
415,1899,90 Jameson Avenue,1,1,622 ,-79.43527,43.634354
416,2400,1A Bansley Ave,2,1,,-79.442017,43.692865
417,2350,66 Broadway Ave,1,1,709 ,-79.395343,43.710677
420,2300,4 Hill Heights Road,2,1,,-79.493548,43.63851
424,2069,1061 Don Mills Road,1,1,672 ,-79.342199,43.735087
426,2269,2402-2406 Queen St. E,1,1,640 ,-79.279808,43.674538
428,2149,96 Jameson Avenue,1,1,721 ,-79.435445,43.634741
436,2900,2515 Bathurst Street,2,1,1250 ,-79.426037,43.705619
438,3985,102-116 Pacific Ave,3,2.5,,-79.464974,43.656286
442,2158,640 Sheppard Avenue East,1,1,,-79.383259,43.769669
444,2811,525 Richmond Street West,1,1,,-79.400071,43.646939
449,2450,1284 Danforth Road,2,1,810 ,-79.246128,43.740223
450,3000,1331 Queen St E,1,1,650 ,-79.326591,43.663922
455,2200,660 Briar Hill Ave.,1,1,,-79.427537,43.708036
456,2995,50 Stephanie St,2,1,,-79.392195,43.651345
459,2239,24 Tyndall Avenue,1,1,675 ,-79.428411,43.635125
465,2650,1407 Royal York Road,2,2,987 ,-79.526358,43.683844
466,1900,10 Willowridge Road,1,1,,-79.569114,43.674876
467,2400,30 Fontenay Court,2,1,,-79.512445,43.68326
469,2550,25 Richview Road,2,1,957 ,-79.514016,43.684668
470,2350,1B Richview Road,1.5,1,,-79.512654,43.684505
471,2350,1A Richview Road,1.5,1,,-79.512654,43.684505
472,2650,125 Blue Jays Way,1.5,1,550 ,-79.392031,43.645734
474,1851,2892 St. Clair Ave. E,0,1,,-79.302409,43.707946
475,2747,286 Finch Avenue West,2,1,800 ,-79.440017,43.774724
478,2050,70 Dixfield Drive,1,1,810 ,-79.572372,43.656053
479,2450,625 Finch Avenue West,2,1,900 ,-79.454479,43.771077
484,1999,391 Sherbourne St,1,1,600 ,-79.373284,43.66374
485,2399,107 Redpath Ave,1,1,650 ,-79.392154,43.706866
489,1850,608 Church St,0,1,375 ,-79.38234,43.667635
497,1950,21 Park Blvd.,1,1,,-79.531169,43.590783
498,1800,730 Ontario Street,1,1,,-79.374086,43.671112
499,2400,3 Torobtolton Drive,2,1,,-79.558368,43.718323
501,1950,156 Kingston Road,1,1,,-79.310842,43.671005
503,2010,14 Chatsworth Drive,1,1,,-79.402572,43.722353
507,1750,165 Cosburn Avenue,0,1,500 ,-79.345316,43.689954
508,2270,68 Hillside Dr.,1,1,685 ,-79.356556,43.689534
509,2250,200 Jameson Ave,1,1,638 ,-79.43738,43.639817
516,2540,587 Avenue Road,1,1,526 ,-79.40194,43.689442
517,1775,1300 York Mills Rd,0,1,,-79.323843,43.761976
520,2649,50 Driftwood,2,1,899 ,-79.513664,43.752331
521,3775,525 Adelaide Street West,2,2,764 ,-79.402185,43.64534
522,2199,746 Midland Avenue,1,1,600 ,-79.256964,43.729781
523,2699,30-50 Hillsboro Avenue,1,1,,-79.39288,43.675701
524,2309,100 Gowan Avenue,1,1,596 ,-79.350742,43.688002
526,31999,90 Cordova Ave,3,1.5,,-79.523782,43.647993
528,2500,812 Lansdowne Avenue,1,1,565 ,-79.447604,43.665211
530,2550,899 Queen St E,1,1,620 ,-79.341861,43.6604
531,1950,521 Finch Avenue West,1,1,,-79.444227,43.772956
532,1950,523 Finch Avenue West,1,1,,-79.445298,43.773458
533,2050,2727 Victoria Park Ave,1,1,,-79.323302,43.777438
536,1990,1 Terraview Blvd,1,1,,-79.317352,43.764565
538,3100,1075 Queen Street East,2,2,831 ,-79.336374,43.661785
544,1779,392 Sherbourne Street,0,1,400 ,-79.373278,43.663711
547,2400,38 Joe Shuster Way,1,1,540 ,-79.424411,43.640529
552,2000,45 Faywood Blvd.,1,1,,-79.446662,43.735861
553,2500,30 Vinci Cres,2,1,,-79.445596,43.736738
557,2200,268 Poplar Plains Rd,1,1,,-79.404004,43.685643
559,4200,59 East Liberty Street,2.5,2,986 ,-79.413708,43.638448
560,1979,107 Roselawn Avenue,0,1,486 ,-79.402493,43.710115
565,2049,3000 Dufferin Street,1,1,669 ,-79.45403,43.7108
570,3497,345 Merton Street,2,1,900 ,-79.384167,43.698645
571,1950,560 Birchmount Road,1,1,,-79.27097,43.712305
574,1929,90 Tyndall Avenue,1,1,,-79.42877,43.636189
576,2100,153 St. George Street,0,1,500 ,-79.400203,43.669585
584,2400,151 St George,1,1,650 ,-79.400103,43.669426
586,1750,276 St. Clair Avenue West,0,1,,-79.409059,43.685354
589,1950,552 Birchmount Road,1,1,,-79.270533,43.711898
591,1925,555 Sherbourne Street,0,1,,-79.374951,43.669056
595,3800,66 Isabella Street,3,2,1033 ,-79.382286,43.668432
599,1900,7 Rochefort Drive,2,1,,-79.336918,43.718009
601,1850,44 Thorncliffe Park Drive,1,1,,-79.342997,43.702666
603,3075,1410 Dupont Street,2,2,794 ,-79.447411,43.667024
604,4500,17 Powerhouse Street,3,2.5,1460 ,-79.448829,43.670204
605,2900,55 East Liberty Street,1.5,1,635 ,-79.412682,43.638754
606,4999,50 Curzon Street,3,3,2055 ,-79.332461,43.664748
607,3700,7 Foundry Avenue,2.5,1.5,1075 ,-79.448243,43.668799
609,1850,48 Grenoble Drive,1,1,612 ,-79.331404,43.716712
614,3000,54 Bellhaven Road,3,2,1200 ,-79.31347,43.676368
615,2950,23 Brant Street,1.5,1,800 ,-79.396487,43.645939
616,2150,2221 Yonge Street,1,1,400 ,-79.397957,43.70603
617,2600,35 Viking Lane,1.5,1,,-79.53622,43.638173
618,2950,190 Manitoba Street,2,1,950 ,-79.491342,43.623832
619,2950,8 Eglinton Avenue East,2,2,700 ,-79.397774,43.70714
620,2700,59 East Liberty Street,1,1,,-79.413967,43.638683
621,2750,5 Valhalla Inn Road,1.5,1,,-79.559913,43.640268
622,2700,255 Richmond Street East,1,1,,-79.370446,43.652845
