,price,address,beds,baths,size
590,1812 - $2147,99 Dowling Avenue,0 - 1,1,450 - 656 
591,2700 - $3650,8 York St,1 - 2.5,1 - 2,650 - 1100 
592,2239,24 Tyndall Avenue,1,1,675 
593,2497 - $2579,"80 Wellesley Street, East",1,1,478 - 660 
594,2772,555 The West Mall -,3,1,1059 
595,2030 - $3995,25 Nicholas Avenue,0 - 3,1 - 2.5,360 - 1160 
596,2049,317 Park Lawn Road -,1,1,716 
597,2249 - $3145,"1450 Sheppard Avenue, West - ",1 - 3,1,799 - 1122 
598,2600 - $3550,20 Minowan Miikan Lane,1 - 2,1 - 2,550 - 850 
599,2550 - $3500,101 Peter St,1 - 2,1 - 2,500 - 750 
600,2600 - $3450,55 Bremner Blvd,1.5 - 2,1 - 2,650 - 750 
601,2083,1 Rannock Street - S,1,1,620 
602,2339,570 Birchmount Road - S,2,1,
603,2050 - $2386,1255 Birchmount Road - S,1 - 2,1,
604,1930 - $2960,141 Davisville Avenue,0 - 2,1,
605,2650,1407 Royal York Road,2,2,987 
606,2597,25 Leith Hill Rd - ,2,1,900 
607,1900,10 Willowridge Road,1,1,
608,2400,30 Fontenay Court,2,1,
609,2152 - $2612,1650 Sheppard Avenue East,0 - 2,1,
610,2550,25 Richview Road,2,1,957 
611,2350,1B Richview Road,1.5,1,
612,2350,1A Richview Road,1.5,1,
613,2650,125 Blue Jays Way,1.5,1,550 
614,2075 - $2550,2600 Don Mills Rd.,1 - 2,1,
615,1851,2892 St. Clair Ave. E,0,1,
616,2038 - $2499,100 Cosburn Ave. -,0 - 1,1,370 - 603 
617,2747,286 Finch Avenue West,2,1,800 
618,1850 - $1950,2 12Kingston Road,1,1,
619,3055,1265 Birchmount Road - S,2,1,1344 
620,2500 - $3000,38 Iannuzzi St,1.5,1,550 - 650 
621,2408 - $2991,71 Thorncliffe Park Dr. -,1 - 2,1,743 - 935 
622,2050,70 Dixfield Drive,1,1,810 
623,2450,625 Finch Avenue West,2,1,900 
624,2699 - $2999,9 Kingsbridge Court - ,2 - 3,1.5 - 2,
625,2249 - $2909,80 Gowan Avenue,1 - 2,1,454 - 808 
626,2500 - $2600,5 Hanna Ave,1,1.5 - 2,550 - 650 
627,2500 - $2650,33 Bay St,1 - 1.5,1,550 
628,3000 - $3600,4 Spadina Ave,1.5 - 2.5,2,750 - 850 
629,1999,391 Sherbourne St,1,1,600 
630,2399,107 Redpath Ave,1,1,650 
631,2600 - $3630,70 Temperance St,1.5 - 2,1 - 2,550 - 850 
632,2350 - $4200,90 Queens Wharf Rd,1 - 3,1 - 2,500 - 850 
633,2500 - $3850,357 King St W,1 - 2,1 - 2,550 - 850 
634,1850,608 Church St,0,1,375 
635,2249,4 & 8 Rannock Street / 880 Pharmacy Avenue Rannock/Pharmacy - S,1,1,
636,2745 - $3195,120 Torresdale Avenue,2 - 3,1,930 
637,1999,898 Jane Str,1,1,
638,1939 - $2919,200 Dufferin Street,0 - 2,1,370 - 735 
639,2600 - $3500,478 King St W,1 - 2,1,550 - 750 
640,2995 - $3400,18 Beverley St,1 - 2,1 - 2,650 - 950 
641,1950 - $2300,1385 Midland Avenue,1 - 2.5,1,
642,2500 - $4000,1 Yorkville Ave,1 - 1.5,1,500 - 550 
643,2500 - $3600,2A Church St,1 - 2,1 - 2,550 - 850 
644,1950,21 Park Blvd.,1,1,
645,1800,730 Ontario Street,1,1,
646,2400,3 Torobtolton Drive,2,1,
647,1900 - $2450,5 Glamorgan Avenue,1 - 2,1,
648,1950,156 Kingston Road,1,1,
649,1649,"140, 146 Jameson Avenue",0,1,382 
650,1350 - $1450,110 Unity Road,0 - 1,1,
651,2010,14 Chatsworth Drive,1,1,
652,2630 - $2892,765 Steeles Ave West,1 - 3,1 - 1.5,745 - 1235 
653,1750 - $2550,77 Erskine Avenue,0 - 2,1,
654,2800 - $3370,50 Portland Street,1.5,1 - 2,726 - 887 
655,1750,165 Cosburn Avenue,0,1,500 
656,2270,68 Hillside Dr.,1,1,685 
657,2250,200 Jameson Ave,1,1,638 
658,2497,67 Parkwoods Village Dr. - ,1,1,670 
659,2549,30 Gilder Drive - S,2,1,
660,2363 - $6074,50 High Park Avenue,1 - 3,1 - 2.5,
661,1639 - $2959,35 Fountainhead Road,1 - 3,1 - 1.5,
662,2159 - $3079,569 Broadview Avenue,0 - 2,1,438 - 798 
663,1839 - $2679,2837 Yonge Street,0 - 2,1,315 - 485 
664,2100 - $2400,22 Close Ave,0 - 1,1,445 - 660 
665,2800 - $3000,710 Spadina Ave,1 - 2,1,
666,2540,587 Avenue Road,1,1,526 
667,1775,1300 York Mills Rd,0,1,
668,1900 - $2600,221 Sterling Road,1,1,560 - 700 
669,2500 - $3300,289 The Kingsway -,1 - 2,1,600 - 1145 
670,1639 - $2959,40 Fountainhead Road,1 - 3,1 - 1.5,
671,2649,50 Driftwood,2,1,899 
672,3775,525 Adelaide Street West,2,2,764 
673,1900 - $2550,221 & 265 Balliol Street,1 - 2,1,640 
674,2199,746 Midland Avenue,1,1,600 
675,2699,30-50 Hillsboro Avenue,1,1,
676,2309,100 Gowan Avenue,1,1,596 
677,2045 - $2425,25 Saint Dennis Drive,1 - 2,1,715 - 972 
678,31999,90 Cordova Ave,3,1.5,
679,1700 - $2000,100 Goodwood Park Court,1,1,
680,2500,812 Lansdowne Avenue,1,1,565 
681,2650 - $7000,55 Charles St W,1 - 3.5,1 - 2.5,972 - 3037 
682,2550,899 Queen St E,1,1,620 
683,1950,521 Finch Avenue West,1,1,
684,1950,523 Finch Avenue West,1,1,
685,2050,2727 Victoria Park Ave,1,1,
686,2189 - $2429,125 Lawton Blvd,1,1,594 - 638 
687,1950 - $2600,1276 Islington Ave,1 - 2,1,
688,1990,1 Terraview Blvd,1,1,
689,2790 - $3400,109 Vaughan Road,2,1,715 - 735 
690,3100,1075 Queen Street East,2,2,831 
691,2139 - $2179,1531 Bathurst Street,1,1,572 - 628 
692,2100 - $2600,111 Raglan Avenue,1 - 2,1,723 - 966 
693,2150 - $2650,240 Lake Promenade,1 - 2,1,
694,1650 - $2650,230 Lake Promenade,0 - 2,1,
695,2150 - $2650,31 Park Blvd.,1 - 2,1,
696,1779,392 Sherbourne Street,0,1,400 
697,1995 - $2595,90 Eastdale Avenue,1 - 2,1,618 - 899 
698,2474 - $7564,7 Jackes Avenue,1 - 3,1,
699,2400,38 Joe Shuster Way,1,1,540 
700,2952 - $6425,131 Bloor Street West,1 - 3,1 - 2,770 - 1408 
701,1700 - $2000,100 Rowena Drive - ,1 - 2,1,850 - 1055 
702,1700 - $2000,105 Rowena Drive - ,1 - 2,1,960 
703,1825 - $2650,220 Lake Promenade,0 - 2,1,
704,1909 - $1929,4 Latimer Avenue,0,1,351 - 387 
705,2250 - $2375,95 Redpath Ave.,1,1,
706,2000,45 Faywood Blvd.,1,1,
707,2500,30 Vinci Cres,2,1,
708,1950 - $2500,165 & 195 Barrington Ave -,1 - 2,1,
709,2095 - $2695,2 Secord Avenue,1 - 2,1,619 - 917 
710,4150 - $4399,925 Bay Street,2,2,1249 - 1250 
711,1850,20 & 72 Gamble Ave -,1,1,
712,1595,26 Sloane Ave 26 Sloane Ave - ,1,1,476 
713,1769 - $2603,9 Crescent Pl -,0 - 2,1,420 - 960 
714,2099 - $3550,88 Bloor St. E,0 - 2,1 - 2,380 - 1009 
715,2225,20 Chichester Place - S,1,1,
716,2200,268 Poplar Plains Rd,1,1,
717,1800 - $1900,195 Kennedy Road ,0,1,
718,2300 - $2400,111 Oriole Parkway,1,1,614 - 707 
719,1759,9 - 27 Bergamot Avenue -,1,1,636 
720,4200,59 East Liberty Street,2.5,2,986 
721,1979,107 Roselawn Avenue,0,1,486 
722,1310 - $2325,145 St. George Street,0 - 2,1,635 - 740 
723,2100 - $2550,55 Wynford Heights Crescent,1 - 2,1,
724,2600,7 Welsford Gardens - ,3,1.5,1372 
725,1700 - $1850,10 Walmer Road,0 - 1,1,462 - 473 
726,1999 - $2199,6040 Bathurst Street,1,1,496 - 703 
727,2049,3000 Dufferin Street,1,1,669 
728,2149 - $2999,3636 Bathurst Street,1 - 3,1 - 2,730 - 1352 
729,1994 - $2519,14-16-20 Carluke Crescent,1 - 2,1,710 - 920 
730,2197 - $2547,40 Pleasant Blvd,0 - 1,1,400 - 758 
731,2250 - $2650,150 Graydon Hall Drive,2 - 3,1 - 1.5,720 - 1000 
732,3497,345 Merton Street,2,1,900 
733,2349,21 Welsford Gardens - ,2,1,
734,1950,560 Birchmount Road,1,1,
735,2639 - $3629,100 Parkway Forest Drive,1 - 3,1 - 2,665 - 1160 
736,1969 - $2959,470 Sentinel Road,1 - 3,1 - 1.5,
737,1639 - $2509,1 Fountainhead Road - ,0 - 2,1,
738,1929,90 Tyndall Avenue,1,1,
739,2250 - $3000,20 Prince Arthur Avenue,0 - 1,1,500 - 608 
740,2100,153 St. George Street,0,1,500 
741,2000 - $2400,214 St. George Street,0 - 1,1,500 - 596 
742,2000 - $2050,250 St. George Street,0,1,500 
743,2900 - $5700,780 Eglinton Avenue West,2 - 3,1,1102 - 2026 
744,2800 - $3000,10 Lamport Avenue,2,1,989 - 1030 
745,2025 - $2400,224 St. George Street,0 - 1,1,500 - 590 
746,2200 - $2300,445 Eglinton Avenue East,1,1,767 - 857 
747,2000 - $2400,149 St. George,0 - 1,1,500 - 644 
748,2400,151 St George,1,1,650 
749,2695 - $3295,300 Antibes Drive,2 - 3,1.5 - 2,922 - 1122 
750,2475,25 Cedarcroft Blvd - ,2,1,
751,1950 - $2150,545 The West Mall -,1 - 2,1 - 1.5,
752,2500,20 Carabob Court - S,2,1,
753,2350 - $2600,10 Carabob Court - S,1 - 2,1 - 1.5,
754,2525,111 and 121 Combermere Drive - S,2,1,
755,1750,276 St. Clair Avenue West,0,1,
756,1745 - $2025,236 Vaughan Road,0 - 1,1,
757,1950 - $2750,544 Birchmount Road,1 - 3,1,
758,1950,552 Birchmount Road,1,1,
759,1975 - $2300,545 Sherbourne Street,0 - 1,1,
760,1925,555 Sherbourne Street,0,1,
761,1950 - $3250,565 Sherbourne Street,0 - 3,1,
762,1600 - $1975,15 Harding Avenue,0 - 1,1,
763,1895 - $2150,20 Carlton and 25 Wood Street,0 - 1,1,
764,3800,66 Isabella Street,3,2,1033 
765,2275 - $3699,310 & 320 Tweedsmuir Avenue,1 - 2,1 - 2,558 - 903 
766,2200 - $2500,44 Valley Woods Road - ,1 - 2,1 - 1.5,850 - 950 
767,2700 - $4000,561 Sherbourne Street,2 - 3,1 - 2,
768,2025 - $2425,2 Vena Way,1.5 - 2,1 - 1.5,552 - 821 
769,0 - $2045,390 Dawes Road,1 - 3,1 - 2,750 - 924 
770,1900,7 Rochefort Drive,2,1,
771,1550 - $1750,117 Old Forest Hill Road,0 - 1,1,
772,1850,44 Thorncliffe Park Drive,1,1,
773,1550 - $1850,3444 Keele Street,0 - 1,1,
774,3075,1410 Dupont Street,2,2,794 
775,4500,17 Powerhouse Street,3,2.5,1460 
776,2900,55 East Liberty Street,1.5,1,635 
777,4999,50 Curzon Street,3,3,2055 
778,3700,7 Foundry Avenue,2.5,1.5,1075 
779,1935 - $3060,111 Davisville Avenue,0 - 2,1,
780,1850,48 Grenoble Drive,1,1,612 
781,1600 - $1950,"18, 24, 25 & 27 Seeley Drive",1 - 3,1,505 - 780 
782,1925 - $3700,561 Towns at Sherbourne Place,0 - 3,1 - 2,1050 
783,2200 - $2650,65 Wynford Heights Cr.,1 - 2,1,
784,2165 - $2605,10 San Romanoway - ,1 - 2,1,
785,1990 - $2950,77 Huntley Street,0 - 2,1,
786,1700 - $2900,25 St. Mary Street,0 - 2,1,522 
787,3000,54 Bellhaven Road,3,2,1200 
788,2950,23 Brant Street,1.5,1,800 
789,2150,2221 Yonge Street,1,1,400 
790,2600,35 Viking Lane,1.5,1,
791,2950,190 Manitoba Street,2,1,950 
792,1450 - $2300,2305 Lake Shore Boulevard West -,0 - 2,1,400 - 650 
793,2000 - $2200,2255 Jane Street - ,1 - 2,1,600 - 700 
794,2950,8 Eglinton Avenue East,2,2,700 
795,2700,59 East Liberty Street,1,1,
796,2750,5 Valhalla Inn Road,1.5,1,
797,2700,255 Richmond Street East,1,1,
798,5000,41 Hellensfield Crescent,3.5,2.5,
799,3200,1040 The Queensway,2,2,
800,2750,30 Jopling Avenue North -,3,1,1000 
801,3550,22 Southport Street,3,2,1180 
802,4588,11 Midholm Drive,5,2,1600 
803,1550,1621 Queen Street West,0,1,
804,1895 - $2695,Jameson Avenue,0 - 2,1,400 - 786 
805,2500,63 Lockerbie Avenue,2,1,1500 
806,1895 - $2795,120 Jameson Avenue,0 - 2,1,405 - 788 
807,3300,110 Rosemount Avenue,3,1,1000 
808,2800,110 Rosemount Avenue,2,1,950 
809,10800,215 Woburn Avenue,4,5,
810,1400,3 Nordale Crescent,2,1,1879 
811,2600,197 Yonge Street,1,1,645 
812,2800,23 Cannon Road,2,1,950 
813,2900,2212 Lake Shore Boulevard West,2,2,746 
814,5500,575 Bloor Street East,2,2,800 
815,2900,388 Richmond Street West,1.5,1,950 
816,2400,55 Montclair Avenue,1,1,
817,2450,55 Cooper Street,1.5,1,700 
818,2300,357 King Street West,1,1,550 
819,2350,38 Iannuzzi Street,1,1,560 
820,2500,87 Peter Street,1.5,1,600 
821,3200,20 Carnation Avenue,2,2,
822,3100,125 Western Battery Road,1.5,2,
823,2650,2220 Lake Shore Boulevard West,1,1,
824,2700,1121 Bay Street,1,1,
825,3600,36 Park Lawn Road,2,2,
826,3500,70 Temperance Street,2,2,
827,2400,501 Saint Clair Avenue West,1.5,1,600 
828,2300,1 Belsize Drive,1,1,560 
829,2300,19 Western Battery Road,1,1,500 
830,2300,230 King Street East,0,1,450 
831,2650,33 Shore Breeze Drive,1.5,1,700 
832,2400,16 Brookers Lane,1.5,1,700 
833,2350,2015 Sheppard Avenue East,1.5,1,700 
834,2400,555 Wilson Avenue,1.5,1,700 
835,2650,57 Devon Road,2,1,
836,3100,33 Helendale Avenue,2,2,900 
837,3300,65 East Liberty Street,2,2,1000 
838,2200,3 Gloucester Street,0.5,1,320 
839,2500,3 Gloucester Street,1,1,360 
840,3090,160 Dowling Avenue,2,1.5,1200 
841,2300,66 Hartley Avenue,2,1,1030 
842,2650,402 Coxwell Avenue,2,1,1200 
843,2450,160 Dowling Avenue,1,1,600 
844,3050,3 Michael Power Place,3,2,
845,2950,397 Front Street West,1.5,1,
846,3100,1195 The Queensway,2,2,750 
847,3200,161 Roehampton Avenue,1.5,1,
848,2700,3000 Bathurst Street,2,1,850 
849,2900,5 Richgrove Drive,2,2,
850,2400,1195 The Queensway,1.5,1,
851,2400,105 The Queensway,1,1,
852,2500,50 Ordnance Street,1,1,
853,3500,53 Sixteenth Street,3,2,1050 
854,2850,600 Queens Quay West,1.5,1,700 
855,1950 - $2200,468 St Johns R,1,1,
856,1250,213 Carlton Street,1,1,
857,2495,7 Lorraine Drive - ,1,1,650 
858,1895,30 Anna Hilliard Lane,1,1,500 
859,3500,15 La Rose Avenue,3,2,1350 
860,1800,740 Eglinton Avenue West,1,1,670 
861,2400,15 Singer Court,1.5,2,800 
862,2300,1 Grandview Avenue,1.5,1,580 
863,2350,205 Sherway Gardens Road,1.5,1,680 
864,1400,94 Steeles Avenue East,1,1,700 
865,1500,Florence Street,2,2,
866,2700,159 William Duncan Road,2.5,1,750 
867,5500,155 Woodbine Ave,3,2,1800 
868,2000,2929 Bathurst Street,1,1,750 
869,3250,124 Aerodrome Crescent,2,2,1050 
870,5600,20 Glen Gordon Road,3,3,1500 
871,970,70 Pembroke Street,1,1,130 
872,2550,124 Morrison Avenue,2,1,900 
873,2550,100 Harbour Street,1,1,600 
874,2300,27 Bathurst Street,1,1,500 
875,2500,20 Shore Breeze Drive,1.5,1,600 
876,2600,18 Stafford Street,1,1,800 
877,2800,318 Richmond Street West,1,1,617 
878,1600,404 Woodfield Road,1,1,600 
879,2000,1136 Ossington Avenue,1,1,800 
880,4200,133 Meadowvale Drive,3,2,1500 
881,2650,28 Olive Avenue,1,1.5,650 
882,2500,10 Gibbs Road,1.5,1,650 
883,3400,120 Caledonia Road,3,2,2000 
884,3750,83 Marion Street,2,1,1100 
885,2400,320 Roncesvalles Avenue,1,1,
886,2300 - $4000,150 Redpath Avenue,1 - 3,1 - 2,600 - 1000 
887,1400,Roxborough Drive,1,1,45 
888,3200,102 Kendal Avenue,1,1,650 
889,3500,52 Radford Avenue,3,1,900 
890,1150,2949 Kingston Road - S,1,1,800 
891,950,Danforth Road,1,1,150 
892,3500,125 Blue Jays Way,2.5,1,890 
893,3000,20 Joe Shuster Way,1,1,540 
894,2650,1181 Queen Street West,1.5,1,
895,2500,63 Raymore Drive,1,1,
896,2850,560 Front Street West,1.5,1,
897,631 - $854,2 Humber B,0 - 1,1,300 - 400 
898,3000,1900 Lake Shore Boulevard West,1.5,1,
899,2750,1190 Dundas Street East,1,1,
900,2950,8 Eglinton Avenue East,2,2,
901,2600,318 Richmond Street West,1,1,
902,2700,28 Linden Street,1.5,1,
903,2400,629 King Street West,1,1,451 
904,2650,7 Kenaston Gardens | Unit: 702 - ,1.5,1,699 
905,2230,621 Sheppard Avenue East - ,1.5,1,699 
906,3050,4978 Yonge Street - ,2,2,900 
907,3680,536 College Street,2,1,1400 
908,1200,563 Beresford Avenue,1,2,1700 
909,3500,10 Park Lawn Road,2.5,2,870 
910,1700,44 Euclid Avenue,2,1,
911,3499,1331 Gerrard Street East,2,1.5,1150 
912,3200,195 Redpath Avenue,2,2,680 
913,1295,693 Spadina Avenue,1,1,800 
914,1250,193 Dowling Avenue,1,1,10 
915,2850,150 Logan Avenue,1.5,2,650 
916,1850,18 Chrysler Crescent,1,1,750 
917,8950,204 Howard Park Avenue,3,1,1800 
918,8950,204 Howard Park Avenue,2,1,
919,2500,19 Barberry Place,1.5,1,600 
920,1955 - $2750,52 Mabelle Avenue -,0 - 3,1 - 1.5,700 - 1050 
921,2400,15 Baseball Place,1,1,500 
922,1800,900 Mount Pleasant Road,1,1,647 
923,2450,150 Logan Avenue,1,1,510 
924,1200,Camperdown Avenue,4,2,
925,3150,600 Fleet Street,1,1,650 
926,3100,954 King Street West,1.5,1.5,690 
927,3200,14 Markdale Avenue,1,2.5,1000 
928,2200,160 Vanderhoof Avenue -,1,1,500 
929,1475,1088 Avenue Road,1,1,575 
930,2200,2365 Queen Street East,1,1,760 
931,2789,5 Richgrove Drive,2,1.5,1200 
932,1700,34 Anola Place,1,1,
933,3675,964 Dundas Street West,3,1,1200 
934,1450,10 Cedarvale Avenue,1,1,
935,3900,342 Jarvis Street,1.5,3,
936,1950,69 Bywood Drive,1,1,
937,1900,9 Valhalla Inn Road,1,1,541 
938,875,147 Chelmsford Avenue,1,1,400 
939,1000,481 Vaughan Road,1,1,
940,3800,37 Grosvenor Street,2,2,752 
941,2000,25 Capreol Court,1,1,510 
942,1950,236 Garden Avenue,1,1,900 
943,3499,700 King Street West,2,1,750 
944,3300,1 Old Mill Drive,1.5,1,700 
945,3850,11 Wellesley Street West,2,2,799 
946,4000,11 Wellesley Street West,2,2,799 
947,3300,15 Holmes Avenue - ,2,2,968 
948,4600,1 Bloor Street East,2,2,1038 
949,5900,7 Grenville Street,3,3,1399 
950,9290,19 Gormley Avenue,5,4,2500 
951,3650,99 Broadway Avenue,2,2,699 
952,3500,5180 Yonge Street - ,2,2,799 
953,3950,85 Wood Street,2.5,2,775 
954,3000,577 Eglinton Avenue West,2,1,1000 
955,4000,14 Markdale Avenue,2,2.5,1500 
956,2875,36 Lisgar Street,2,2,560 
957,3100,181 Dundas Street East,2,1,650 
958,2800,20 Omagh Avenue,3,1,1200 
959,1600,338 Euclid Avenue,2,1,800 
960,2300,90 Glen Everest Road,1,1,585 
961,1250,47 Grant Street,0.5,1,275 
962,2000,2015 Sheppard Avenue East,2,2,990 
963,3280,85 Wood Street,2,1,700 
964,2300,251 Jarvis Street,0,1,388 
965,2750,600 Queens Quay West,1.5,1,720 
966,2400,26 Gibbs Road,1,1,550 
967,2690,Toronto Street,2,1,1500 
968,2550,19 Grand Trunk Crescent,1.5,1,716 
969,5250,30 Tretti Way,2,2,
970,3200,115 McMahon Drive,2,2,755 
971,4550,129 Kenilworth Avenue,3,1.5,980 
972,2100,Tavistock Road,1,1,
973,3295,2 Traymore Crescent,2,1,1000 
974,2450,2 Edith Drive,1,1,595 
975,1900,208 McCaul Street,1,0,120 
976,2150,188 Fairview Mall Drive,0,1,375 
977,2750,15 Viking Lane,1.5,1,650 
978,2450,33 Singer Court,1,1,
979,920 - $1300,59 Homewood Avenue,1,1,200 - 225 
980,2650,5 Concorde Place - ,1.5,1,700 
981,1895,1745 Bathurst Street,1,1,888 
982,5295,208 Niagara Street,2.5,2,1300 
983,3500,63 Lockerbie Avenue,3,1,1900 
984,5800,27 Wright Avenue,3.5,2,
985,1955 - $2750,105 La Rose Avenue -,1 - 3,1 - 1.5,650 - 1050 
986,1800,50 Ordnance Street,1,1,
987,3400,150 Logan Avenue,2,2,717 
988,2900,1215 York Mills Road,2,2,
989,2550,8 Tippett Road,1.5,2,641 
990,2950,1441 Dufferin Street,2,1,800 
991,2600,88 Harbour Street,1,1,550 
992,2100,Bowhill Crescent,3,1,1000 
993,3100,717 Lawrence Avenue West,2,1.5,1055 
994,1050,2 Sparta Road,1,1,
995,3350,121 Lower Sherbourne Street,2,2,680 
996,2450,7 Carlton Street,1,1,700 
997,2600,8 Tippett Road,1.5,1,585 
998,2900,55 Cooper Street,1.5,1,700 
999,2650,27 Rean Drive - ,1,1,550 
1000,2550,1 Shaw Street,1,1,600 
1001,2450,195 Redpath Avenue,1,1,
1002,3600,155 Marlee Avenue,3,2,1300 
1003,3950,525 Adelaide Street West,2,2,1000 
1004,2950,226 Wilmington Avenue,3,2,1000 
1005,2900,501 Yonge Street,1.5,1,600 
1006,2650,24 Wellesley Street West,1.5,1,680 
1007,3300,112 Rosethorn Avenue,2,3,1000 
1008,1100,455 Front Street East,1,1,
1009,2200,169 Fort York Boulevard,1,1,499 
1010,1450,12A Gower Street,1,1,350 
1011,3300,605 Huron Street,3,1,1250 
1012,2995,446 Roxton Road,3,1,900 
1013,3000,55 Harrison Garden Boulevard,1.5,1,705 
1014,1050,12 Laredo Court,1,1.5,150 
1015,2050,201 Oakwood Avenue,3,1.5,1000 
1016,3160,55B Long Branch Avenue -,3,1.5,1100 
1017,1 - $1250,1 Market Street,0,0.5 - 1,
1018,2350,2015 Sheppard Avenue East,1,1,500 
1019,3995,278 Betty Ann Drive,2,1,
1020,8995,314 Cosburn Avenue,5,3.5,3500 
1021,5999,452 Gerrard Street East,2,2,2000 
1022,2800,169 Fort York Boulevard,1,1,500 
1023,4000,14 Dovercourt Road,2,2,800 
1024,2650,608 Richmond Street West,1,1,490 
1025,2300,Cambridge Avenue,1,1.5,600 
1026,6000,32 Peveril Hill North,5,5,2000 
1027,2400,830 Lawrence Avenue West,1,1,450 
1028,2100,Cambridge Avenue,1,1,600 
1029,2100,2121 Bathurst Street,1,1,800 
1030,1450,39 John Perkins Bull Drive,1,1,
1031,2800,8 Tippett Road,2,2,777 
1032,2495,1778 Bloor Street West,1,1,600 
1033,2100,436 Concord Avenue,1,1,540 
1034,2397,91 Wellesley Street East,1,1,650 
1035,2000,Beatrice Street,1,1,710 
1036,2520,56 Forest Manor Road,1,1,500 
1037,2550,7 Mabelle Avenue,1.5,1,631 
1038,3100,775 King Street West,1,1,650 
1039,3600,1074 Saint Clair Avenue W,3,1,
1040,3100,55 De Boers Drive - ,2,2,900 
1041,2850,150 Logan Avenue,1.5,2,647 
1042,4000,33 Frederick Todd Way,1.5,2,750 
1043,2900,812 Lansdowne Avenue,2,1,657 
1044,1800,50 Power Street,1,1,650 
1045,1700,775 Lansdowne Avenue,2,1,
1046,4000,26 Sonic way - ,3,3,1700 
1047,3050,88 Sheppard Avenue East - ,2,1,
1048,3500,55 Endean Avenue,2.5,1,1300 
1049,2295,338 Euclid Avenue,2,1,700 
1050,2600,40 Scollard Street,1.5,1,650 
1051,650,33 Darrell Avenue,1,1,14 
1052,1950,70 Transwell Avenue - ,2,1,1100 
1053,640,64 Stonedene Boulevard,1,1,
1054,1795,494 Mortimer Avenue,1,1,535 
1055,2850,34 Garthdale Court,3,1,1250 
1056,4500,58 Highfield Road,3,1,
1057,2400,14 York Street,1,1,550 
1058,6000,32 Peveril Hill North,5,5,2000 
1059,850,17 Lanbrooke Avenue,1,1,
1060,5700,25 Ridley Gardens,4,2,1800 
1061,3550,100 Western Battery Road,2,2,840 
1062,3895,20 Richardson Street,2,2,645 
1063,2400,26 Gifford Street,2,1,850 
1064,2500,629 King Street West,1,1,
1065,2450,197 Yonge Street,1,1,
1066,2400,85 Queens Wharf Road,1,1,
1067,3450,105 George Street,2,2,818 
1068,3100,36 Lisgar Street,2,2,600 
1069,2400 - $3000,1195 The Queensway,1.5 - 2,1 - 2,610 - 710 
1070,6000,100 Hampton Avenue,4,2,2000 
1071,1950,89 Seventeenth Street,1,1,
1072,2800,42 Mendota Road,2,1,900 
1073,1950,74 Burnaby Boulevard,1,1,400 
1074,980,62 Ulster Street,1,1,120 
1075,2000,59 Wolverleigh Boulevard,1,1,600 
1076,3400,20 Tubman Avenue,2,2,737 
1077,3600,57 Saint Joseph Street,2.5,2,815 
1078,1849,1 Springhurst Avenue,0,0.5,425 
1079,5000,83 Third Street,3.5,3.5,2500 
1080,4700,69 Eleventh Street,4,2,2000 
1081,2000,16 Brookers Lane,1,1,562 
1082,2000,20 Blue Jays Way,1,1,560 
1083,1650,108 Madison Avenue,3,1,1000 
1084,2100,132 Brunswick Avenue,1,1,650 
1085,2850,381 Front Street West,1.5,1,638 
1086,3200,70 Annie Craig Drive,1.5,2,663 
1087,2600,750 Bay Street,1,1,
1088,4200,95 McMahon Drive,3,3,1100 
1089,2550,77 Harbour Square | Unit: 2905,0,1,500 
1090,2450,29 Denison Avenue,1,1,650 
1091,3557,350 Queens Quay West,2.5,1,794 
1092,2550,50 Power Street,1.5,1,
1093,2700,2369 Danforth Avenue,1.5,2,693 
1094,2200,1349 Danforth Avenue,0.5,0.5,400 
1095,900,Toronto Street,1,0,
1096,1475,674 Bathurst Street,1,1,125 
1097,3150,120 Harrison Garden Boulevard - ,2,2,800 
1098,2500,90 Stadium Road,1,1,642 
1099,2700,120 Harrison Garden Boulevard,1.5,1,687 
1100,2900,Danforth Avenue,2.5,1,1000 
1101,4475,256 Jarvis Street,2,2,1859 
1102,3350,188 Redpath Avenue,2,1.5,765 
1103,2500,1603 Eglinton Avenue West,1.5,1,589 
1104,3500,256 Annette Street,2.5,1,1100 
1105,4500,50 Charles Street East,3,2,1100 
1106,1975,16 Northwestern Ave,1,1,900 
1107,2275,96 Citation Drive,1,1,700 
1108,1800,100 Greensides Avenue,0,1,100 
1109,2950,27 Simpson Avenue -,2,1,1 
1110,5900,11 Wingrove Hill,4,4,4000 
1111,3150,77 Lombard Street,2,2,854 
1112,1700,434 Christie Street,1,1,500 
1113,3000,135 Jay Street,3,3,1748 
1114,875,Roxaline Street,1,1,130 
1115,5000,42 Marchmount Road,3,1,1300 
1116,2400,1195 The Queensway,1.5,1,612 
1117,2300,1195 The Queensway,1,1,560 
1118,1400,714 The West Mall,1,1,
1119,1999,50 Cowan Avenue,2,1,700 
1120,2700,415 Jarvis Street,2,1,650 
1121,3000,190 Manitoba Street,2,1,950 
1122,2850 - $3290,82 Marchmount Road,2,1,927 - 991 
1123,2400,1195 The Queensway,1.5,1,600 
1124,2480,871 Dovercourt Road,1,1,970 
1125,3490,2174 Queen Street East,2,1.5,
1126,1600,2 Lappin Avenue,1,1,500 
1127,4400,3121 Sheppard Avenue East,3.5,2,1200 
