,price,address,beds,baths,size
1863,2000,111 Carlton Street,1,1,315 
1864,2550,5168 Yonge Street,1.5,1,600 
1865,2000,38 Glenvalley Drive,1,0.5,500 
1866,3350,2816 Bloor Street West,3,1.5,1100 
1867,3500,52 Holmes Avenue,2,2,800 
1868,3100,181 Wynford Drive - ,2.5,2,1045 
1869,2149,50 Ordnance Street,0,1,499 
1870,3000,19 Western Battery Road,2.5,2,700 
1871,3200,28 Freeland Street,2,1,759 
1872,3200,28 Freeland Street,2,1,759 
1873,3600,1 Glen Park Avenue,2.5,2,1000 
1874,3050,39 Roehampton Avenue,2,2,687 
1875,3200,30 Tretti Way,2,2,839 
1876,1850,42 Emerald Crescent -,2,1,
1877,2200,127 Summerhill Avenue,1,1,
1878,1600,181 Bedford Road,1,1,
1879,2500,67 Diana Drive,2,1,1000 
1880,2350,320 Richmond Street East,1.5,0,
1881,2100,1787 Saint Clair Avenue West,1.5,1,570 
1882,2600,15 Northtown Way,1,1,599 
1883,1995,1594 Bathurst Str,1,1,750 
1884,2075,1594 Bathurst Str,1,1,700 
1885,2525,555 Yonge Street,1,1,640 
1886,2500,1267 Weston R,2,1,900 
1887,3000,251 Jarvis Street,2,2,799 
1888,3500,48 Greylawn Crescent,3.5,3,2000 
1889,3000,144 Harrison Street,3,1,1100 
1890,2500,28 Olive Avenue,1.5,1,650 
1891,2400,1787 Saint Clair Avenue West,0.5,0.5,571 
1892,3500,101 Peter Street,2,2,800 
1893,1095,Thorncrest Road -,1,1,
1894,3600,3 Gloucester Street,2,2,700 
1895,2500,105 The Queensway,1.5,1,650 
1896,1699,50 Gerrard Street East,3,1,350 
1897,2495,160 Canon Jackson Drive,1.5,1,662 
1898,3000,5 Mabelle Avenue,2,2,800 
1899,2000,224 Saint George Street,0,1,400 
1900,2600,101 Peter Street,1,1,650 
1901,4500,1926 Lake Shore Boulevard West,3,3,
1902,3700,172 Saint Clair Avenue East,2.5,1,1400 
1903,3600,408 Brown's Line -,1,1,641 
1904,2800,460 Adelaide Street East,2,2,730 
1905,2700,39 Homewood Avenue,2,1,450 
1906,3100,39 Homewood Avenue,2,1,600 
