,price,address,beds,baths,size,longitude,latitude
345,2595,150 Dowling Avenue,2,1,925 ,-79.43949,43.637788
356,2455,15 Tangreen Court,1,1,616 ,-79.426377,43.796648
357,2115,630 Roselawn Ave.,1,1,,-79.423027,43.706123
358,2245,1000 Portage Parkway,1.5,1,700 ,-79.527336,43.797749
359,2900,8 Lakelawn Rd,3,2.5,1600 ,-79.609707,43.211831
360,2615,31 Phipps Street,1,1,513 ,-79.386767,43.664937
361,2445,8 Eglinton Avenue Eas,1.5,1,575 ,-79.397224,43.708143
364,2210,2 Glenhaven Street,1,1,597 ,-79.469902,43.691757
365,2382,2040 Eglinton Avenue West,1,1,767 ,-79.456878,43.694454
366,2245,385 Winston Road,2,2,850 ,-79.599457,43.209937
367,3580,761 Bay St,2,2,950 ,-79.384995,43.659667
371,2195,18 Concorde Place,1,1,700 ,-79.327973,43.730949
372,2495,1030 King Street West,1.5,1,600 ,-79.415905,43.641581
374,2700,88 Harbour St,1,1,550 ,-79.379082,43.642187
376,2650,30 Ordnance St,1,1,550 ,-79.409325,43.639391
377,2195,28 Ted Rogers Way,1.5,1,720 ,-79.380609,43.670587
378,3550,381 Front St W,2.5,2,850 ,-79.392662,43.642808
379,3650,95 Lombard St,2.5,2,1100 ,-79.37335,43.652004
380,3300,1765 Queen St E,2,2,950 ,-79.309695,43.667711
387,2600,501 Adelaide St,1,1,550 ,-79.401338,43.645376
388,3299,19 Eby Way,3.5,1.5,1200 ,-79.26263,43.884623
391,2750,3443 Bathurst Street,2.5,1,976 ,-79.431489,43.728047
392,1750,1510 King Street West,1,1,443 ,-79.440809,43.636724
393,1400,229 Carlton Street,0,1,,-79.368599,43.663946
394,1995,153 Ranleigh Avenue,0,1,,-79.39807,43.728259
401,1920,2175 Avenue Road,1,1,472 ,-79.421201,43.740855
403,1797,5 Glenavon Road,1,1,257 ,-79.43894,43.635531
404,1969,4-6 Folcroft,1,1,600 ,-79.25128,43.700982
406,1899,5 Donlands Avenue,1,1,620 ,-79.337259,43.680697
407,2200,50 Alexander Street,0,1,430 ,-79.381103,43.663529
408,3400,40 Alexander Street,2,1,863 ,-79.382012,43.663292
411,2600,80 Queens Wharf Rd,1,1,550 ,-79.400027,43.638599
412,2480,1475 Birchmount Road,2,1,800 ,-79.288056,43.756696
413,2599,5600 Sheppard Avenue E,2,1,880 ,-79.236328,43.795041
419,2000,549 Indian Road,0,1,,-79.456525,43.656649
420,3600,111 Bathurst St,2,1,750 ,-79.4026,43.644768
422,2500,151 Dan Leckie Way,1,1,550 ,-79.397947,43.639783
423,3500,30 Grand Trunk Cres,2,2,850 ,-79.382787,43.642282
424,2700,50 Bruyeres Mews,1,1,550 ,-79.402138,43.637672
425,1950,550 Jarvis Street,1,1,618 ,-79.379949,43.669228
426,3700,290 Adelaide St W,2,2,1100 ,-79.391145,43.648002
427,2700,65 Bremner Blvd,1,1,650 ,-79.380521,43.642629
428,2500,30 Nelson St,1.5,1,650 ,-79.388413,43.64904
429,4295,133 Florence St.,3,2.5,,-79.433633,43.645374
430,2450,100 Roehampton Avenue,2,1,,-79.395979,43.708523
431,2429,155 Wellesley Street East,1,1,526 ,-79.375318,43.666301
434,3100,101 driftwood ave,3,2,1000 ,-79.513313,43.754519
436,1825,131 Lake Crescent,0,1,,-79.498471,43.605649
437,2095,30 Gloucester Street,1,1,500 ,-79.383792,43.667351
438,2925,70 Temperance Street,2,1,776 ,-79.382508,43.650763
439,2899,245 Howland Avenue,2,1,,-79.41135,43.672957
444,1499,31 Tichester Road,1,1,,-79.419031,43.685434
447,2495,38 Lee Centre Drive,2,1,800 ,-79.246612,43.781759
448,2845,33 Helendale Avenue,2,2,653 ,-79.399581,43.70886
450,2195,2700 Bathurst Street,1,1,618 ,-79.428149,43.709075
451,2495,30 Roehampton Avenue,1,1,650 ,-79.397498,43.708472
452,2350,115 Blue Jays Way,1,1,456 ,-79.39252,43.645694
453,2975,3000 Victoria Park Ave,3,2,,-79.331993,43.792311
454,2600,55 Cooper St,1.5,1,650 ,-79.371413,43.643796
455,2099,608 Church Street,0,1,,-79.382082,43.668038
456,2199,177 St. George Street,0,1,,-79.400945,43.671111
457,2399,107 Redpath Avenue,1,1,,-79.392111,43.707271
459,2002,2367 Queen St. E,0,1,297 ,-79.288301,43.672168
460,1949,90 Jameson Avenue,1,1,622 ,-79.43527,43.634354
461,2400,1A Bansley Ave,2,1,,-79.442017,43.692865
462,2350,66 Broadway Ave,1,1,709 ,-79.395343,43.710677
465,2300,4 Hill Heights Road,2,1,,-79.493548,43.63851
470,2199,2402-2406 Queen St. E,1,1,640 ,-79.279808,43.674538
472,2149,96 Jameson Avenue,1,1,721 ,-79.435445,43.634741
475,1919,65 Dynevor Road,0,1,416 ,-79.449592,43.691669
480,2900,2515 Bathurst Street,2,1,1250 ,-79.426037,43.705619
482,3985,102-116 Pacific Ave,3,2.5,,-79.464974,43.656286
486,2158,640 Sheppard Avenue East,1,1,,-79.383259,43.769669
488,2811,525 Richmond Street West,1,1,,-79.400071,43.646939
493,2450,1284 Danforth Road,2,1,810 ,-79.246128,43.740223
494,3000,1331 Queen St E,1,1,650 ,-79.326591,43.663922
499,2200,660 Briar Hill Ave.,1,1,,-79.427537,43.708036
500,2995,50 Stephanie St,2,1,,-79.392195,43.651345
503,2199,24 Tyndall Avenue,1,1,675 ,-79.428411,43.635125
509,2650,1407 Royal York Road,2,2,987 ,-79.526358,43.683844
510,1900,10 Willowridge Road,1,1,,-79.569114,43.674876
511,2400,30 Fontenay Court,2,1,,-79.512445,43.68326
513,2550,25 Richview Road,2,1,957 ,-79.514016,43.684668
514,2350,1B Richview Road,1.5,1,,-79.512654,43.684505
515,2350,1A Richview Road,1.5,1,,-79.512654,43.684505
516,2650,125 Blue Jays Way,1.5,1,550 ,-79.392031,43.645734
