,price,address,beds,baths,size,longitude,latitude
261,3050,525 Adelaide St W,1.5,2,650 ,-79.402356,43.645218
262,2400,375 King St W,1,1,550 ,-79.393083,43.645749
263,2400,403 Church St,1,1,500 ,-79.379145,43.66227
264,2650,49 East Liberty St,1.5,1,650 ,-79.412009,43.638918
269,3400,700 King St W,2,2,850 ,-79.403314,43.64406
270,3350,25 Lower Simcoe St,2,2,850 ,-79.383268,43.641428
273,2400,181 Dundas St E,1.5,1,550 ,-79.374097,43.657017
274,3400,60 Tannery Rd,2,2,850 ,-79.355185,43.65363
278,3985,102-116 Pacific Ave,3,2.5,,-79.464974,43.656286
283,2455,525 Richmond Street West,1,1,,-79.400071,43.646939
284,4413,50 Prince Arthur Avenue,2,1.5,,-79.398454,43.669415
287,2625,27 Thorncliffe Park Drive,2,1,,-79.346573,43.703191
288,2250,368 Eglinton Ave East,1,1,750 ,-79.386848,43.709461
291,2970,5 Mariner Terr,1.5,1,650 ,-79.390417,43.639736
292,2700,85 Wood St,1.5,1,650 ,-79.379261,43.662768
298,2500,77 Shuter St,1.5,1,500 ,-79.375127,43.654991
300,2750,352 Front St W,1.5,1.5,750 ,-79.392451,43.643353
308,2613,150 Dowling Avenue,2,1,925 ,-79.43949,43.637788
311,3000,38 The Esplanade Ave,1.5,1,650 ,-79.37485,43.646827
313,3995,80 Mill St,2.5,2,1100 ,-79.357972,43.651318
315,2500,270 Queens Quay W,1.5,1,850 ,-79.386476,43.639046
316,2650,125 Blue Jays Way,1.5,1,550 ,-79.392031,43.645734
318,2500,438 Richmond St W,1,1,650 ,-79.396915,43.64797
319,2317,300 Eglinton Avenue East,1,1,,-79.38908,43.708897
320,2599,2900 Bathurst Street,2,1,867 ,-79.428731,43.714525
325,3400,88 Scott Street,1.5,1,743 ,-79.376146,43.648134
327,2650,400 Adelaide St E,1.5,2,650 ,-79.367763,43.652778
330,2400,125 Western Battery Rd,1,1,550 ,-79.416695,43.639859
332,2350,115 Blue Jays Way,1,1,550 ,-79.391618,43.645641
333,2450,20 Richardson St,1,1,600 ,-79.368718,43.645487
337,1999,391 Sherbourne St,1,1,600 ,-79.373284,43.66374
338,2399,107 Redpath Ave,1,1,650 ,-79.392154,43.706866
342,1850,608 Church St,0,1,375 ,-79.38234,43.667635
349,2400,27 Bathurst St,1,1,550 ,-79.401296,43.641049
350,1800,730 Ontario Street,1,1,,-79.374086,43.671112
351,1950,156 Kingston Road,1,1,,-79.310842,43.671005
355,1750,165 Cosburn Avenue,0,1,500 ,-79.345316,43.689954
364,2540,587 Avenue Road,1,1,526 ,-79.40194,43.689442
365,2350,18 Brownlow Avenue,1,1,625 ,-79.391241,43.706546
369,2699,30-50 Hillsboro Avenue,1,1,,-79.39288,43.675701
370,2809,100 Gowan Avenue,2,1,712 ,-79.350742,43.688002
371,2600,1251 King St. West,2,1,900 ,-79.429642,43.638206
372,4000,380 Wallace Avenue,2.5,2.5,1190 ,-79.452871,43.660561
375,2550,899 Queen St E,1,1,620 ,-79.341861,43.6604
380,1779,392 Sherbourne Street,0,1,400 ,-79.373278,43.663711
382,2400,38 Joe Shuster Way,1,1,540 ,-79.424411,43.640529
384,2050,565 Avenue Road,1,1,580 ,-79.401501,43.688141
390,4300,59 East Liberty Street,2.5,2,986 ,-79.413708,43.638448
391,1979,107 Roselawn Avenue,0,1,486 ,-79.402493,43.710115
392,2500,268 Merton Street,2,1.5,700 ,-79.38792,43.698014
393,2099,135 Tyndall Avenue,1,1,563 - 626 ,-79.428323,43.637712
398,3049,345 Merton Street,2,1,900 ,-79.384167,43.698645
399,1929,90 Tyndall Avenue,1,1,,-79.42877,43.636189
404,2100,224 St. George Street,0,1,500 ,-79.40194,43.671434
406,2500,70 Heath Street West,1,1,698 ,-79.398598,43.68987
408,4900,169 St. George Street,3,2,1400 ,-79.400709,43.670874
409,2050,149 St. George,0,1,500 ,-79.371616,43.653381
410,2400,151 St George,1,1,650 ,-79.400103,43.669426
411,2050,66 Isabella Street,1,1,460 ,-79.382904,43.668484
413,2275,55 Lisgar Street,1,1,,-79.423227,43.642655
418,3800,66 Isabella Street,3,2,1033 ,-79.382286,43.668432
421,2900,55 East Liberty Street,1.5,1,635 ,-79.412682,43.638754
422,4999,50 Curzon Street,3,3,2055 ,-79.332461,43.664748
427,3400,430 Markham Street,1,1,1150 ,-79.410864,43.660234
428,2650,942 Yonge Street,1.5,1,700 ,-79.388746,43.674566
429,3000,1441 Dufferin Street,2,1,1000 ,-79.440135,43.671652
430,930,70 Pembroke Street,1,1,130 ,-79.372844,43.658463
431,3300,70 Temperance Street,2,2,,-79.382148,43.65053
432,3500,52 Radford Avenue,3,1,900 ,-79.4554,43.653838
433,4800,35 Mariner Terrace,3,2,1299 ,-79.392089,43.639669
434,3950,21 Iceboat Terrace,3,2,1400 ,-79.397431,43.640498
435,2500,157 Argyle Street,2,1,1000 ,-79.424338,43.645886
436,2600,65 East Liberty Street,1,1,760 ,-79.414195,43.637924
437,2400,50 Ordnance Street,1.5,1,650 ,-79.409724,43.639701
438,2200,38 Joe Shuster Way,1,1,500 ,-79.42436,43.640496
439,2200,8 Eglinton Avenue East,1,1,540 ,-79.397774,43.70714
440,2300,1005 King Street West,1.5,1,680 ,-79.414053,43.641362
441,3800,763 Bay Street,2.5,2,1000 ,-79.385106,43.660264
442,2750,1 Bloor Street East,1.5,1,612 ,-79.386246,43.670159
443,3950,83 Marion Street,2,1,1100 ,-79.443949,43.641505
444,1500,967 Avenue Road,1,1,450 ,-79.407459,43.702866
445,4500,700 Brock Avenue,4.5,2,,-79.439911,43.66154
446,2300,33 Bay Street,1,1,590 ,-79.37708,43.642822
447,3600,20 Stanley Avenue,1.5,1,1068 ,-79.409291,43.643436
448,2500,75 Dalhousie Street,1,1,566 ,-79.375902,43.655728
449,6000,575 Bloor Street East,2,2,800 ,-79.372459,43.671834
451,3500,125 Blue Jays Way,2.5,1,890 ,-79.391579,43.64595
452,2000,251 Jarvis Street,0.5,1,380 ,-79.374108,43.657376
453,2050,1 King Street West,0.5,1,400 ,-79.378145,43.648858
454,1350,29 Glasgow Street,1,0.5,100 ,-79.398595,43.657311
455,3090,160 Dowling Avenue,2,1.5,1100 ,-79.439565,43.638447
456,2550,1 Bloor Street East,1.5,2,800 ,-79.386246,43.670159
457,2850,9 Clinton Place,2.5,0,,-79.417783,43.663025
