,address,price,size,longitude,latitude
229,317-4750 Yonge Street,,— sqft,-79.410957,43.760265
230,318-4750 Yonge Street,,— sqft,-79.410957,43.760265
231,311-1275 Finch Avenue W,"749,999",1465 sqft,-79.487038,43.764076
232,209-2225 Markham Road,"988,800",1664 sqft,-79.243088,43.808735
233,614-1275 Finch Avenue W,,— sqft,-79.487038,43.764076
234,200-333 Bering Avenue,,— sqft,-79.528938,43.637177
235,211-80 Corporate Drive,"349,000",707 sqft,-79.250183,43.780178
236,401-1275 Finch Avenue W,"599,970",1435 sqft,-79.487038,43.764076
237,386 Bering Avenue,,— sqft,-79.532661,43.637173
238,708-18 Wynford Drive,,— sqft,-79.337311,43.723858
239,301-303-4789 Yonge Street,"3,699,999",2773 sqft,-79.410194,43.761108
240,410-1280 Finch Avenue W,"529,900",1182 sqft,-79.488731,43.764435
241,420 Horner Avenue,,— sqft,-79.535995,43.604080
242,509-600 Sherbourne Street,,— sqft,-79.376869,43.671680
243,503-504-1110 Sheppard Avenue E,,— sqft,-79.369019,43.771267
244,217-222 Finch Avenue W,,— sqft,-79.434563,43.775829
245,107-5109 Steeles Avenue W,"799,000",1937 sqft,-79.548508,43.769283
246,505-2347 Kennedy Road,,— sqft,-79.288284,43.784012
247,409-1275 Finch Avenue W,,— sqft,-79.487038,43.764076
248,880 Milner Avenue,,— sqft,-79.194527,43.799461
249,12-11 Tippett Road,,— sqft,-79.446304,43.732998
250,205-2225 Markham Road,,— sqft,-79.243088,43.808735
251,510-1275 Finch Avenue W,"499,000",1013 sqft,-79.487038,43.764076
252,201-3852 Finch Avenue E,,— sqft,-79.300125,43.800735
253,PH65-4168 Finch Avenue E,,— sqft,-79.288887,43.803764
254,606-4789 Yonge Street,,— sqft,-79.410255,43.761406
255,1216-130 Queens Quay E,,— sqft,-79.368317,43.644360
256,301-21 Camden Street,,— sqft,-79.396820,43.646954
257,5 Camden Street,,— sqft,-79.396423,43.647167
258,1888 Wilson Avenue,,— sqft,-79.526291,43.717346
259,500-502-1110 Sheppard Avenue E,,— sqft,-79.369019,43.771267
260,815-1275 Finch Ave West Avenue,,— sqft,-79.487038,43.764076
261,"340,350-5109 Steeles Avenue W","1,380,000",2969 sqft,-79.548508,43.769283
262,577 Yonge Street,,— sqft,-79.384697,43.665565
263,404-2855 Markham Road,"360,000",,-79.247276,43.823723
264,352-4750 Yonge Street,,— sqft,-79.410957,43.760265
265,405-2855 Markham Road,"375,000",600 sqft,-79.247276,43.823723
266,511-2347 Kennedy Road,,— sqft,-79.288284,43.784012
267,101 Richmond Street E,,— sqft,-79.373901,43.652557
268,407-2347 Kennedy Road,"199,000",745 sqft,-79.288284,43.784012
269,262 Avenue Road,,— sqft,-79.398232,43.678215
270,28 Finch Avenue W,,— sqft,-79.418037,43.779453
271,1&2-197 Yonge Street,"5,550,000",5968 sqft,-79.379189,43.653435
272,905 Queen Street W,"4,098,000",3313 sqft,-79.418015,43.644333
273,124-600 Dixon Road,,— sqft,-79.572899,43.692429
274,224-600 Dixon Road,,— sqft,-79.572899,43.692429
275,491 Lawrence Avenue W,,— sqft,-79.428818,43.719074
276,31 Elm Street,"8,450,000",6400 sqft,-79.383148,43.657459
277,717 Coxwell Avenue,"1,350,000",3240 sqft,-79.323601,43.684002
278,209 Carlton Street,,— sqft,-79.369766,43.663666
279,8-63 Lombard Street,,— sqft,-79.374435,43.651882
280,1106-130 Queens Quay E,,— sqft,-79.368317,43.644360
281,407-80 Queen Street E,"15,775,200",15024 sqft,-79.374931,43.653809
282,406-80 Queen Street E,"4,253,550",4051 sqft,-79.374931,43.653809
283,405-80 Queen Street E,"3,094,950",2634 sqft,-79.374931,43.653809
284,404-80 Queen Street E,"3,463,900",2948 sqft,-79.374931,43.653809
285,403-80 Queen Street E,"3,536,750",3010 sqft,-79.374931,43.653809
286,402-80 Queen Street E,"5,131,350",4887 sqft,-79.374931,43.653809
287,401-80 Queen Street E,"6,390,300",6086 sqft,-79.374931,43.653809
288,37 Madison Avenue,"6,488,000",7262 sqft,-79.403061,43.668739
289,102/202-1352 Bathurst Street,,— sqft,-79.417160,43.679672
290,409-421 Bloor Street E,,— sqft,-79.376953,43.672108
291,401-421 Bloor Street E,,— sqft,-79.376953,43.672108
292,41 Lesmill Road,,— sqft,-79.353142,43.758179
293,204-595 Sheppard Avenue E,,— sqft,-79.384216,43.767342
294,305-1585 Markham Road,,— sqft,-79.237732,43.792599
295,2A-66 Jutland Road,,— sqft,-79.522812,43.628212
296,7-66 Jutland Road,"3,450,990",4600 sqft,-79.522743,43.628227
297,70 Mcgriskin Road,"7,000,000",8550 sqft,-79.246391,43.794823
298,5M-4773 Yonge Street,,— sqft,-79.410408,43.760960
299,109 Railside Road,,— sqft,-79.326393,43.735115
300,307-4750 Yonge Street,,— sqft,-79.410957,43.760265
301,307 Sheppard Avenue W,"4,600,000",,-79.425903,43.757973
302,202-2855 Markham Road,"350,000",453 sqft,-79.247276,43.823723
303,324-15 Wellesley Street W,"798,000",849 sqft,-79.385490,43.664539
304,609-130 Queens Quay,,— sqft,-79.368317,43.644360
305,821-130 Queens Quay E,,— sqft,-79.368317,43.644360
306,201-202-1 Yorkville Avenue,,— sqft,-79.387794,43.671623
307,478 Richmond Street W,,— sqft,-79.398132,43.647831
308,4D-4773 Yonge Street,,— sqft,-79.410408,43.760960
